ID,刹车等级,偏航等级,故障代码,中文描述,英文描述
1,210,100,01_01_001,变桨急停引起机组安全链断开,SC_SafetyChainEmergencySTOP_Hub
7,_51,__0,01_03_001,轮毂温度超出最大限制,SC_TempHubOutOfSpecMAX
8,_51,__0,01_03_002,轮毂温度低于最小限制,SC_TempHubOutOfSpecMIN
9,__0,__0,01_03_003,轮毂温度高,SC_TempHub_high
10,__0,__0,01_03_004,轮毂温度低,SC_TempHub_low
11,_50,__0,01_03_005,轮毂温度较高,SC_TempHub_MAX
12,_50,__0,01_03_006,轮毂温度较低,SC_TempHub_MIN
13,_51,__0,01_03_007,轮毂温度重复性故障,SC_RepFaultTempHub
14,198,__0,01_03_008,桨叶1轴控箱温度太高,SC_Blade1TemKTYAxisboxtoohigh
15,198,__0,01_03_009,桨叶1轮毂温度太高,SC_Blade1TemKTYHubCenterboxtoohigh
16,198,__0,01_03_010,桨叶1轴控箱温度太低,SC_Blade1TemKTYAxisboxtoolow
17,198,__0,01_03_011,桨叶1轮毂温度太低,SC_Blade1TemKTYHubCenterboxtoolow
18,198,__0,01_03_012,桨叶1轴控箱散热器温度太高,SC_Blade1Unittemperatureheatsinktoohigh
19,198,__0,01_03_013,桨叶1轴控箱散热器温度太低,SC_Blade1Unittemperatureheatsinktoolow
20,199,__0,01_03_014,桨叶1电机温度太高,SC_Blade1Motortemperaturetoohigh
21,198,__0,01_03_015,桨叶1电池温度太高,SC_Blade1Batterytemperaturetoohigh
22,198,__0,01_03_016,桨叶1电池温度太低,SC_Blade1Batterytemperaturetoolow
25,198,__0,01_03_019,桨叶2控箱温度太高,SC_Blade2TemKTYAxisboxtoohigh
26,198,__0,01_03_020,桨叶2轮毂温度太高,SC_Blade2TemKTYHubCenterboxtoohigh
27,198,__0,01_03_021,桨叶2控箱温度太低,SC_Blade2TemKTYAxisboxtoolow
28,198,__0,01_03_022,桨叶2轮毂温度太低,SC_Blade2TemKTYHubCenterboxtoolow
29,198,__0,01_03_023,桨叶2控箱散热器温度太高,SC_Blade2Unittemperatureheatsinktoohigh
30,198,__0,01_03_024,桨叶2控箱散热器温度太低,SC_Blade2Unittemperatureheatsinktoolow
31,199,__0,01_03_025,桨叶2电机温度太高,SC_Blade2Motortemperaturetoohigh
32,198,__0,01_03_026,桨叶2电池温度太高,SC_Blade2Batterytemperaturetoohigh
33,198,__0,01_03_027,桨叶2电池温度太低,SC_Blade2Batterytemperaturetoolow
36,198,__0,01_03_030,桨叶3控箱温度太高,SC_Blade3TemKTYAxisboxtoohigh
37,198,__0,01_03_031,桨叶3轮毂温度太高,SC_Blade3TemKTYHubCenterboxtoohigh
38,198,__0,01_03_032,桨叶3控箱温度太低,SC_Blade3TemKTYAxisboxtoolow
39,198,__0,01_03_033,桨叶3轮毂温度太低,SC_Blade3TemKTYHubCenterboxtoolow
40,198,__0,01_03_034,桨叶3控箱散热器温度太高,SC_Blade3Unittemperatureheatsinktoohigh
41,198,__0,01_03_035,桨叶3控箱散热器温度太低,SC_Blade3Unittemperatureheatsinktoolow
42,199,__0,01_03_036,桨叶3电机温度太高,SC_Blade3Motortemperaturetoohigh
43,198,__0,01_03_037,桨叶3电池温度太高,SC_Blade3Batterytemperaturetoohigh
44,198,__0,01_03_038,桨叶3电池温度太低,SC_Blade3Batterytemperaturetoolow
52,199,__0,01_05_001,桨叶1的一个编码器故障,SC_Blade1_OnePitchSensorDefect
