"故障编号","故障描述_中文","故障描述_英文","故障等级","偏航等级","延时时间","更改说明及日期","故障代码"
"1","01001_SC_塔基安全链紧急停机","01001_SC_SafetyEmergencyStopTower","10","5.0","0.0","","01001"
"2","01002_SC_机舱安全链紧急停机","01002_SC_SafetyEmergencyStopNacelle","10","5.0","0.0","","01002"
"3","01003_SC_安全链网侧过功率/短路","01003_SC_SafetyGridSideOverPowerOrShortCircuit","10","0.0","0.0","","01003"
"4","01004_SC_安全链机侧过功率/短路","01004_SC_SafetyGeneratorSideOverPowerOrShortCircuit","10","0.0","0.0","","01004"
"5","01005_SC_安全链振动超限1","01005_SC_SafetyVibrationOverLimit1","9","0.0","0.0","","01005"
"6","01006_SC_安全链振动超限2","01006_SC_SafetyVibrationOverLimit2","9","0.0","0.0","","01006"
"7","01007_SC_安全链发电机超速","01007_SC_SafetyGeneratorOverSpeed","10","0.0","0.0","","01007"
"8","01008_SC_安全链叶轮超速","01008_SC_SafetyRotorOverSpeed","10","0.0","0.0","","01008"
"9","01009_SC_PLC安全链断开","01009_SC_SafetyChainOpenByPLC","9","0.0","0.0","","01009"
"10","01010_SC_安全链偏航扭缆超限","01010_SC_SafetyTwistCableOverLimit","9","5.0","0.0","","01010"
"12","01012_SC_变频器安全链紧急停机","01012_SC_SafetyEmergencyStopConverter","10","5.0","0.0","","01012"
"13","01013_SC_安全链断开","01013_SC_SafetySafetyChainOpen","8","0.0","0.5","","01013"
"14","01014_SC_安全链数据溢出","01014_SC_SafetyDataOverflow","8","5.0","0.1","","01014"
"101","02001_SC_启动超时","02001_SC_StartOverTime","4","0.0","90.0","","02001"
"102","02002_SC_升速超时","02002_SC_RunUpOverTime","4","0.0","60.0","","02002"
"103","02003_SC_并网超时","02003_SC_ConnectOverTime","4","0.0","30.0","","02003"
"104","02004_SC_快速停机超时","02004_SC_FastStopOverTime","8","0.0","200.0","","02004"
"105","02005_SC_正常停机超时","02005_SC_NormalStopOverTime","5","0.0","300.0","","02005"
"201","03001_SC_塔基停机","03001_SC_TowerStop","2","0.0","0.1","","03001"
"202","03002_SC_机舱停机","03002_SC_NacelleStop","2","0.0","0.1","","03002"
"203","03003_SC_人机界面停机","03003_SC_VisualStop","2","0.0","0.1","","03003"
"204","03004_SC_远程停机","03004_SC_RemoteStop","2","0.0","0.1","","03004"
"205","03005_SC_塔基维护","03005_SC_TowerInService","0","3.0","0.1","","03005"
"206","03006_SC_机舱维护","03006_SC_NacelleInService","0","3.0","0.1","","03006"
"207","03007_SC_变桨维护","03007_SC_PitchInService","0","3.0","0.1","","03007"
"208","03008_SC_界面维护","03008_SC_VisualInService","0","3.0","0.1","","03008"
"209","03009_SC_塔基检修","03009_SC_TowerInSpecting","0","3.0","0.1","","03009"
"210","03010_SC_远程维护","03010_SC_RemoteInService","0","","0.1","","03010"
"301","04001_SC_环境温度高","04001_SC_OutdoorTempertureHigh","3","0.0","600.0","","04001"
"302","04002_SC_环境温度低","04002_SC_OutdoorTempertureLow","3","0.0","600.0","","04002"
"303","04003_SC_风向仪1故障","04003_SC_WindDirectionSensor1Failure","0","0.0","60.0","","04003"
"304","04004_SC_风向仪2故障","04004_SC_WindDirectionSensor2Failure","0","0.0","60.0","","04004"
"305","04005_SC_风向仪1和风向仪2故障","04005_SC_WindDirectionSensor1and2Failure","4","3.0","2.0","","04005"
"306","04006_SC_风向仪1和风向仪2偏差过大","04006_SC_WindDirectionSensor1and2DifferenceMaxLimit","0","0.0","30.0","","04006"
"307","04007_SC_风向与机舱夹角过大","04007_SC_WindDirectionAndNacelleDifferenceMaxLimit","3","0.0","10.0","","04007"
"308","04008_SC_风速仪1故障","04008_SC_WindSpeedSensor1Failure","0","0.0","30.0","","04008"
"309","04009_SC_风速仪2故障","04009_SC_WindSpeedSensor2Failure","0","0.0","30.0","","04009"
"310","04010_SC_风速仪1和风速仪2故障","04010_SC_WindSpeedSensor1and2Failure","4","0.0","5.0","","04010"
"311","04011_SC_风速仪1和风速仪2偏差过大故障","04011_SC_WindSpeedSensor1and2DifferenceFailure","0","0.0","30.0","","04011"
"312","04012_SC_瞬时风速超限","04012_SC_WindSpeedMaximumLimit","3","0.0","2.0","","04012"
"313","04013_SC_1秒风速超限","04013_SC_WindSpeed1sMaximumLimit","3","0.0","2.0","","04013"
"314","04014_SC_10秒风速超限","04014_SC_WindSpeed10sMaximumLimit","3","0.0","2.0","","04014"
"315","04015_SC_30秒风速超限","04015_SC_WindSpeed30sMaximumLimit","3","0.0","2.0","","04015"
"316","04016_SC_1分钟风速超限","04016_SC_WindSpeed1minMaximumLimit","3","0.0","2.0","","04016"
"317","04017_SC_10分钟风速超限","04017_SC_WindSpeed10minMaximumLimit","3","0.0","2.0","","04017"
"318","04018_SC_瞬时风速过低","04018_SC_WindSpeedMinimumLimit","3","0.0","2.0","","04018"
"319","04019_SC_机舱环境温度传感器故障","04019_SC_NacelleOutTemperatureSensorError","0","0.0","2.0","","04019"
"320","04020_SC_叶片结冰","04020_SC_BladesFrozen","3","0.0","300.0","","04020"
"321","04021_SC_风速仪结冰","04021_SC_WindSensorFrozen","3","0.0","300.0","","04021"
"322","04022_SC_台风模式","04022_SC_TyphoonMode","8","6.0","2.0","","04022"
"323","04023_SC_户外温度传感器故障","04023_SC_OutdoorTempertureSensorFailure","0","0.0","2.0","","04023"
"401","05001_SC_塔基第一平台温度高","05001_SC_TowerFirstFloorTemperatureHigh","0","0.0","10.0","","05001"
"402","05002_SC_塔基第一平台温度低","05002_SC_TowerFirstFloorTemperatureLow","0","0.0","10.0","","05002"
"403","05003_SC_塔基第二平台温度高","05003_SC_TowerSecondFloorTemperatureHigh","0","0.0","10.0","","05003"
"404","05004_SC_塔基第二平台温度低","05004_SC_TowerSecondFloorTemperatureLow","0","0.0","10.0","","05004"
"405","05005_SC_塔基第三平台温度高","05005_SC_TowerThirdFloorTemperatureHigh","0","0.0","10.0","","05005"
"406","05006_SC_塔基第三平台温度低","05006_SC_TowerThirdFloorTemperatureLow","0","0.0","10.0","","05006"
"407","05007_SC_塔基消防系统主报警","05007_SC_TowerFireSystemMainWarning","4","3.0","2.0","修改故障等级20230415","05007"
"408","05008_SC_塔基消防系统预报警","05008_SC_TowerFireSystemEarlyWarning","0","0.0","2.0","","05008"
"409","05009_SC_塔基消防系统故障","05009_SC_TowerFireSystemError","0","0.0","2.0","","05009"
"410","05010_SC_塔基门信号","05010_SC_TowerDoorSignal","0","0.0","2.0","","05010"
"411","05011_SC_OPC通信异常","05011_SC_OPCComHeartbeatFault","0","0.0","20.0","","05011"
"412","05012_Modbus通信异常","05012_SC_ModbusComHeartbeatFault","0","0.0","20.0","","05012"
"413","05013_SC_塔基变压器温度高告警","05013_SC_TowerTransformerTemperatureHighAlarm","0","0.0","","","05013"
"414","05014_SC_塔基变压器温度低告警","05014_SC_TowerTransformerTemperatureLowAlarm","0","0.0","","","05014"
"415","05015_SC_塔基变压器温度高故障","05015_SC_TowerTransformerTemperatureHighError","3","0.0","","","05015"
"416","05016_SC_塔基变压器温度低故障","05016_SC_TowerTransformerTemperatureLowError","3","0.0","","","05016"
"417","05017_SC_塔筒频率偏差过大","05017_SC_TowerFrequencyDiffMaxFault","6","3.0","30.0","20230712修改","05017"
"501","06001_SC_塔基柜690V主熔断器断开","06001_SC_TowerCabinet690VMainFuse","4","0.0","0.1","","06001"
"502","06002_SC_塔基柜690V防雷保护","06002_SC_TowerCabinet690VLightningProtection","0","0.0","0.1","","06002"
"503","06003_SC_塔基柜UPS400V保护","06003_SC_TowerCabinetUPS400VProtection","0","0.0","0.1","","06003"
"504","06004_SC_塔基柜非UPS开关电源正常","06004_SC_TowerCabinetNonUPS400VSwitchPowerNormal","0","0.0","0.1","","06004"
"505","06005_SC_塔基柜机舱400V供电保护","06005_SC_TowerCabinetNacelle400VPowerSupplyProtection","5","0.0","0.1","","06005"
"506","06006_SC_塔基柜变频器主开关跳闸","06006_SC_TowerCabinetConverterFuseOK1","5","0.0","0.1","","06006"
"507","06007_SC_塔基柜变频器辅助开关跳闸","06007_SC_TowerCabinetConverterFuseOK2","5","0.0","0.1","","06007"
"508","06008_SC_塔基柜箱变水冷泵保护","06008_SC_TowerCabinetBoxTransformerWaterPumpProtection","4","0.0","0.1","","06008"
"509","06009_SC_塔基柜箱变水冷泵保护1","06009_SC_TowerCabinetBoxTransformerWaterFanProtection1","4","0.0","0.1","","06009"
"510","06010_SC_塔基柜箱变水冷泵保护2","06010_SC_TowerCabinetBoxTransformerWaterFanProtection2","4","0.0","0.1","","06010"
"511","06011_SC_塔基柜变频器柜400V保护","06011_SC_TowerCabinetConverterCabinet400VProtection","5","3.0","0.1","","06011"
"512","06012_SC_塔基柜风扇和加热器空开跳闸","06012_SC_TowerCabinetHeaterAndFanFuse","4","0.0","0.1","","06012"
"513","06013_SC_塔基柜非UPS400V开关电源空开跳闸","06013_SC_TowerCabinetNonUPS400VSwitchPowerFuse","0","0.0","0.1","","06013"
"514","06014_SC_塔基柜到机舱UPS400V供电保护","06014_SC_TowerCabinetToNacelleUPS400VPowerSupplyProtection","0","0.0","0.1","","06014"
"515","06015_SC_塔基柜UPS400V开关电源空开跳闸","06015_SC_TowerCabinetUPS400VSwitchPowerFuse","0","0.0","0.1","","06015"
"516","06016_SC_塔基柜柜内UPS充电","06016_SC_TowerCabinetUPSChargingNormal","0","0.0","0.1","","06016"
"517","06017_SC_塔基柜柜内UPS报警","06017_SC_TowerCabinetUPSAlarm","0","0.0","0.1","","06017"
"518","06018_SC_塔基柜温控和湿控开关空开跳闸","06018_SC_TowerCabinetTemperatureAndHumidityControllerFuse","4","0.0","0.1","","06018"
"519","06019_SC_塔基柜电梯供电保护","06019_SC_TowerCabientElevatorPowerSupplyFuse","0","0.0","0.1","","06019"
"520","06020_SC_塔基柜电量测量模块开关空开跳闸","06020_SC_TowerCabientMeasuringModuleSwichFuse","4","0.0","0.1","","06020"
"521","06021_SC_塔基柜视频监控供电保护","06021_SC_TowerCabientVideoMonitoringPowerSupplyFuse","0","0.0","0.1","","06021"
"522","06022_SC_塔基柜过温","06022_SC_TowerCabinetOverTemperature","4","0.0","0.1","","06022"
"523","06023_SC_塔基柜SCADA供电保护","06023_SC_TowerCabientSCADAPowerSupplyFuse","0","0.0","0.1","","06023"
"524","06024_SC_塔基柜消防系统供电保护","06024_SC_TowerCabientFireSystemPowerSupplyFuse","0","0.0","0.1","","06024"
"525","06025_SC_塔基柜柜内UPS缓冲","06025_SC_TowerCabinetUPSNormal","0","0.0","0.1","","06025"
"526","06026_SC_塔基柜UPS400V供电正常","06026_SC_TowerCabinetUPS400VSwitchPowerNormal","0","0.0","0.1","","06026"
"527","06027_SC_塔基柜箱变水冷","06027_SC_TowerCabinetBoxTransformerWaterCoolingValveFuse","0","0.0","0.1","","06027"
"528","06028_SC_塔基柜690V电量测量保护","06028_SC_TowerCabinet690VMeasureProtection","4","0.0","0.1","","06028"
"529","06029_SC_塔基柜冷却风扇空开跳闸","06029_SC_TowerCabinetCoolingFanFuse","0","0.0","0.1","","06029"
"530","06030_SC_塔基柜雷电保护空开跳闸","06030_SC_TowerCabinetLightningFuse","0","0.0","0.1","","06030"
"531","06031_SC_塔基柜24V冗余模块冗余功能失效报警","06031_SC_TowerCabinet24VRedundancyModuleFailureAlarm","0","0.0","0.1","","06031"
